:START_ID(disease)|:END_ID(drug)|type:STRING|name:STRING
7374|11618|好评药品|好评药品
8077|11740|好评药品|好评药品
8776|11773|好评药品|好评药品
2757|12524|好评药品|好评药品
6607|10086|好评药品|好评药品
508|9042|好评药品|好评药品
2310|12597|好评药品|好评药品
3932|12081|好评药品|好评药品
8257|11232|好评药品|好评药品
3993|8815|好评药品|好评药品
436|11561|好评药品|好评药品
1003|9969|好评药品|好评药品
1730|11860|好评药品|好评药品
4612|8851|好评药品|好评药品
2614|9256|好评药品|好评药品
3548|9578|好评药品|好评药品
6441|9913|好评药品|好评药品
862|9606|好评药品|好评药品
6575|10778|好评药品|好评药品
5838|9297|好评药品|好评药品
6943|11170|好评药品|好评药品
7872|11071|好评药品|好评药品
7103|11626|好评药品|好评药品
3962|9378|好评药品|好评药品
8055|11671|好评药品|好评药品
4587|10118|好评药品|好评药品
4997|10000|好评药品|好评药品
7914|11130|好评药品|好评药品
223|11723|好评药品|好评药品
1325|11265|好评药品|好评药品
7100|10508|好评药品|好评药品
2266|11848|好评药品|好评药品
8664|9390|好评药品|好评药品
2161|9053|好评药品|好评药品
3139|11156|好评药品|好评药品
6526|11575|好评药品|好评药品
4459|9319|好评药品|好评药品
1328|10344|好评药品|好评药品
7516|9471|好评药品|好评药品
881|11765|好评药品|好评药品
4297|9425|好评药品|好评药品
8181|12579|好评药品|好评药品
7562|12628|好评药品|好评药品
5733|11001|好评药品|好评药品
5735|9722|好评药品|好评药品
6080|11506|好评药品|好评药品
8358|8985|好评药品|好评药品
3262|10521|好评药品|好评药品
556|8836|好评药品|好评药品
4983|9246|好评药品|好评药品
7826|9319|好评药品|好评药品
1783|11169|好评药品|好评药品
1784|10171|好评药品|好评药品
1503|11980|好评药品|好评药品
5474|12627|好评药品|好评药品
5890|12605|好评药品|好评药品
7701|12524|好评药品|好评药品
7831|12328|好评药品|好评药品
8085|9451|好评药品|好评药品
359|12491|好评药品|好评药品
568|9042|好评药品|好评药品
1610|8932|好评药品|好评药品
6181|8851|好评药品|好评药品
6723|9501|好评药品|好评药品
8679|11744|好评药品|好评药品
7684|11503|好评药品|好评药品
5196|9048|好评药品|好评药品
2394|10091|好评药品|好评药品
3113|12357|好评药品|好评药品
8139|12084|好评药品|好评药品
6564|10788|好评药品|好评药品
3638|10904|好评药品|好评药品
4841|11962|好评药品|好评药品
8686|8837|好评药品|好评药品
1719|12209|好评药品|好评药品
7657|9052|好评药品|好评药品
6828|11118|好评药品|好评药品
7128|9281|好评药品|好评药品
8258|11963|好评药品|好评药品
2034|9544|好评药品|好评药品
2508|10729|好评药品|好评药品
4731|9042|好评药品|好评药品
8088|11588|好评药品|好评药品
634|9434|好评药品|好评药品
2806|11199|好评药品|好评药品
7175|8836|好评药品|好评药品
1011|9488|好评药品|好评药品
4572|9895|好评药品|好评药品
1714|10250|好评药品|好评药品
5474|9219|好评药品|好评药品
5769|11353|好评药品|好评药品
7160|11106|好评药品|好评药品
2999|10706|好评药品|好评药品
7689|10441|好评药品|好评药品
7102|9594|好评药品|好评药品
3877|11916|好评药品|好评药品
52|11694|好评药品|好评药品
1516|12492|好评药品|好评药品
2095|10493|好评药品|好评药品
